,state,gender,median_home_val,median_household_income,ic2,ic3,ic4,avggift
464,FL,M,1028.0,394.0,493.0,483.0,,20.0
465,IL,M,1464.0,256.0,413.0,294.0,457.0,9.857142857
466,LA,F,719.0,313.0,337.0,373.0,391.0,6.428571429
467,WA,F,684.0,280.0,311.0,326.0,355.0,
468,IL,F,376.0,268.0,,304.0,344.0,6.217391304
469,TX,F,927.0,386.0,417.0,448.0,484.0,
470,CA,F,1185.0,354.0,373.0,,,
471,KY,F,453.0,215.0,260.0,266.0,302.0,8.307692308
472,,F,747.0,,489.0,475.0,503.0,10.0
473,IL,M,439.0,362.0,388.0,,404.0,10.6
474,GA,F,935.0,419.0,439.0,510.0,541.0,11.21428571
475,FL,M,616.0,212.0,234.0,248.0,282.0,5.133333333
476,,F,947.0,300.0,360.0,342.0,469.0,85.0
477,AZ,F,572.0,204.0,,238.0,253.0,6.0
478,IL,M,675.0,278.0,298.0,341.0,409.0,11.22222222
479,KY,,269.0,224.0,256.0,250.0,284.0,7.75
480,GA,M,471.0,282.0,307.0,,298.0,10.33333333
481,,M,604.0,314.0,337.0,304.0,327.0,15.0
482,IL,F,1219.0,417.0,472.0,494.0,,3.722222222
483,MS,M,382.0,142.0,181.0,,240.0,9.166666667
484,,F,1699.0,462.0,657.0,581.0,787.0,
485,AZ,F,1165.0,489.0,514.0,519.0,539.0,11.5
486,,F,803.0,413.0,429.0,,473.0,4.069767442
487,MI,F,394.0,229.0,293.0,264.0,308.0,3.7
488,SC,F,490.0,328.0,341.0,336.0,,19.6
489,CA,,949.0,264.0,,321.0,411.0,12.5
490,MN,M,849.0,344.0,368.0,,428.0,
491,CA,,1372.0,,,421.0,449.0,15.0
492,TX,F,358.0,307.0,325.0,342.0,379.0,6.933333333
493,IN,F,325.0,144.0,231.0,178.0,,15.0
494,FL,F,355.0,,224.0,229.0,244.0,20.0
495,,F,713.0,176.0,259.0,,321.0,
496,NC,,1208.0,439.0,494.0,516.0,587.0,14.0
497,LA,M,550.0,294.0,313.0,303.0,319.0,7.291666667
498,OK,,450.0,378.0,391.0,,432.0,11.68181818
499,AZ,,1460.0,,633.0,659.0,663.0,
500,,,478.0,,337.0,352.0,374.0,7.3125
501,AZ,F,1165.0,489.0,514.0,,539.0,12.14285714
502,,F,694.0,319.0,321.0,342.0,362.0,
503,IN,F,744.0,396.0,457.0,432.0,492.0,8.0
504,CA,F,875.0,280.0,330.0,326.0,,11.75
505,IA,F,354.0,222.0,248.0,253.0,269.0,7.8
506,FL,F,1675.0,336.0,505.0,,568.0,20.0
507,LA,F,421.0,194.0,233.0,,247.0,10.0
508,TX,F,782.0,524.0,469.0,565.0,545.0,
509,NM,F,574.0,212.0,268.0,256.0,300.0,20.0
510,GA,F,1067.0,481.0,529.0,,,11.25
511,,F,1175.0,586.0,619.0,626.0,662.0,4.5
512,CA,M,916.0,242.0,321.0,,369.0,22.0
513,FL,F,566.0,218.0,242.0,249.0,,5.6
514,NC,M,525.0,333.0,346.0,364.0,399.0,6.923076923
515,CA,M,1582.0,,335.0,330.0,359.0,14.25
516,FL,M,1006.0,282.0,398.0,383.0,,4.066666667
517,TN,M,345.0,159.0,197.0,233.0,277.0,20.0
518,OR,M,431.0,213.0,260.0,242.0,266.0,9.0
519,CA,F,2457.0,381.0,445.0,472.0,531.0,12.5
520,TX,F,385.0,185.0,,288.0,348.0,8.666666667
521,NC,,1136.0,505.0,512.0,553.0,579.0,13.4
522,IL,F,623.0,255.0,294.0,283.0,285.0,4.416666667
523,,M,673.0,354.0,394.0,406.0,438.0,5.739130435
524,KY,F,582.0,254.0,359.0,297.0,364.0,6.357142857
525,CA,F,1468.0,,363.0,361.0,371.0,10.66666667
526,TX,M,764.0,320.0,363.0,377.0,,20.0
527,,F,1274.0,405.0,462.0,404.0,439.0,4.454545455
528,CA,M,1749.0,,281.0,291.0,327.0,
529,,M,1509.0,545.0,617.0,,680.0,11.125
530,,M,816.0,357.0,384.0,413.0,458.0,11.6
531,CA,F,905.0,223.0,241.0,244.0,263.0,6.111111111
532,,F,1027.0,444.0,451.0,475.0,475.0,
533,TN,F,871.0,464.0,501.0,503.0,539.0,9.0
534,CA,F,2833.0,207.0,,282.0,278.0,3.705882353
535,IN,M,428.0,240.0,319.0,268.0,,8.0
536,CA,M,1088.0,278.0,308.0,335.0,,7.285714286
537,NM,F,1304.0,205.0,222.0,288.0,330.0,17.09090909
538,CA,M,1859.0,,407.0,465.0,461.0,4.272727273
539,,M,595.0,339.0,363.0,,386.0,5.954545455
540,TX,F,396.0,195.0,249.0,246.0,287.0,
541,AZ,F,594.0,155.0,186.0,206.0,228.0,7.8
542,OR,M,538.0,121.0,,169.0,222.0,9.307692308
543,AR,F,332.0,170.0,222.0,233.0,269.0,
544,CA,F,1875.0,,138.0,96.0,138.0,8.333333333
545,AR,F,1094.0,463.0,486.0,517.0,543.0,12.0
546,TX,M,386.0,,287.0,275.0,327.0,17.4
547,TX,M,1565.0,,741.0,838.0,905.0,12.4
548,MI,M,246.0,161.0,174.0,205.0,,
549,CA,,1185.0,338.0,368.0,402.0,445.0,6.666666667
550,CA,F,2438.0,,672.0,588.0,687.0,40.75
551,NC,F,824.0,285.0,305.0,333.0,356.0,20.0
552,WI,M,535.0,192.0,303.0,263.0,374.0,6.285714286
553,IL,M,1008.0,450.0,496.0,463.0,540.0,12.30769231
554,TN,F,848.0,466.0,488.0,509.0,,10.0
555,CA,M,1158.0,369.0,398.0,373.0,386.0,5.75
556,TX,M,1139.0,303.0,566.0,455.0,633.0,17.5
557,TX,M,468.0,254.0,295.0,306.0,337.0,8.0
558,CA,F,675.0,172.0,379.0,242.0,,12.5
559,WI,,533.0,324.0,,337.0,348.0,9.689655172
560,CA,M,1486.0,361.0,406.0,489.0,528.0,12.75
561,IL,M,1250.0,537.0,576.0,572.0,,
562,,M,1991.0,478.0,538.0,615.0,692.0,8.636363636
563,OR,,404.0,199.0,258.0,250.0,,10.0
564,AL,F,413.0,72.0,306.0,132.0,246.0,5.115384615
565,CA,M,2094.0,,606.0,639.0,654.0,11.46153846
566,IN,F,818.0,302.0,,345.0,444.0,5.642857143
567,NC,F,671.0,261.0,325.0,307.0,,10.6
568,NC,M,621.0,300.0,342.0,299.0,351.0,6.705882353
569,AR,F,377.0,173.0,212.0,225.0,261.0,5.0
570,CA,M,1993.0,442.0,472.0,484.0,520.0,4.5
571,WA,F,1493.0,248.0,,,293.0,14.0
572,CA,M,2973.0,614.0,674.0,656.0,721.0,25.0
573,IL,F,1028.0,208.0,234.0,220.0,263.0,21.09090909
574,MI,M,973.0,506.0,521.0,,571.0,7.2
575,GA,F,505.0,185.0,236.0,227.0,276.0,12.5
576,MI,M,524.0,259.0,296.0,276.0,353.0,8.666666667
577,CA,F,1851.0,,531.0,530.0,563.0,20.0
578,WI,M,923.0,373.0,481.0,402.0,497.0,6.818181818
579,IL,F,1401.0,420.0,474.0,,,19.4
580,TX,F,740.0,388.0,422.0,487.0,569.0,8.714285714
581,,M,2442.0,641.0,993.0,764.0,931.0,
582,WA,F,1654.0,305.0,,377.0,457.0,20.0
583,,M,500.0,,438.0,381.0,451.0,12.05555556
584,OR,M,642.0,323.0,355.0,356.0,,
585,TX,M,430.0,,256.0,264.0,311.0,8.666666667
586,FL,M,692.0,,266.0,249.0,304.0,7.6
587,OK,,1062.0,486.0,550.0,555.0,584.0,
588,,M,1375.0,353.0,383.0,362.0,,9.5625
589,TX,F,2469.0,346.0,767.0,559.0,835.0,
590,,M,1472.0,,580.0,583.0,634.0,
591,FL,F,637.0,339.0,394.0,380.0,411.0,4.5
592,NV,M,1557.0,290.0,311.0,342.0,361.0,
593,TX,F,1072.0,529.0,,579.0,663.0,7.833333333
594,IL,M,326.0,,256.0,242.0,292.0,11.4
595,CA,M,1277.0,220.0,245.0,274.0,285.0,
596,,M,685.0,,465.0,,441.0,14.88888889
597,TX,,458.0,199.0,238.0,250.0,268.0,7.778333333
598,,F,695.0,283.0,305.0,337.0,377.0,5.9375
599,FL,F,883.0,374.0,421.0,417.0,466.0,7.083333333
600,OR,M,672.0,,383.0,422.0,455.0,7.894736842
601,NC,M,740.0,279.0,295.0,,398.0,31.75
602,,,1074.0,,504.0,560.0,,
603,,M,685.0,409.0,422.0,436.0,463.0,9.4
604,CA,F,1403.0,419.0,430.0,480.0,505.0,9.4
605,TX,M,838.0,337.0,366.0,441.0,496.0,8.888888889
606,MI,F,460.0,237.0,279.0,281.0,315.0,13.85714286
607,CA,F,1578.0,,,,337.0,9.118235294
608,TX,F,944.0,,509.0,492.0,532.0,14.5
609,SC,M,2817.0,767.0,863.0,866.0,917.0,6.25
610,NC,F,498.0,243.0,284.0,285.0,326.0,7.833333333
611,,,395.0,189.0,,215.0,252.0,6.857142857
612,FL,F,651.0,271.0,287.0,303.0,325.0,10.9
613,MS,M,366.0,132.0,182.0,,229.0,12.75
614,CA,F,2280.0,353.0,397.0,419.0,467.0,5.484848485
615,AL,M,387.0,203.0,252.0,244.0,281.0,
616,GA,F,550.0,144.0,211.0,206.0,253.0,14.0
617,CO,,660.0,183.0,,235.0,251.0,4.090909091
618,,M,738.0,313.0,350.0,372.0,,
619,GA,,718.0,206.0,256.0,254.0,295.0,5.8125
620,TX,M,469.0,223.0,,241.0,270.0,21.63636364
621,NE,F,318.0,216.0,250.0,,265.0,21.85
622,NV,F,1181.0,451.0,,494.0,521.0,17.83333333
623,IA,,386.0,232.0,276.0,274.0,313.0,5.0
624,KY,F,685.0,288.0,,320.0,,
625,MO,M,464.0,,310.0,283.0,322.0,19.28571429
626,GA,F,1245.0,618.0,634.0,687.0,705.0,7.285714286
627,OK,,553.0,176.0,220.0,235.0,275.0,7.53125
628,CA,F,1869.0,358.0,358.0,,359.0,20.0
629,WI,M,360.0,198.0,217.0,248.0,269.0,3.555555556
630,WI,F,432.0,203.0,300.0,226.0,,8.125
631,NC,M,807.0,329.0,374.0,390.0,,
632,TX,F,786.0,421.0,460.0,393.0,453.0,12.33333333
633,NV,,1270.0,447.0,419.0,476.0,472.0,8.833333333
634,AL,M,472.0,,218.0,257.0,302.0,9.777777778
635,IN,F,472.0,305.0,308.0,306.0,322.0,6.578947368
636,SC,M,824.0,348.0,371.0,365.0,,9.166666667
637,SC,F,2156.0,331.0,319.0,419.0,401.0,11.625
638,AZ,M,906.0,396.0,,443.0,485.0,9.666666667
639,NC,F,481.0,162.0,204.0,212.0,247.0,10.36363636
640,NM,F,560.0,259.0,,295.0,345.0,14.2
641,NC,M,475.0,,186.0,201.0,245.0,4.909090909
642,WI,F,567.0,149.0,158.0,210.0,223.0,5.0
643,CA,F,574.0,223.0,243.0,241.0,263.0,23.11111111
644,KS,,430.0,236.0,333.0,314.0,388.0,9.0
645,FL,M,711.0,266.0,351.0,305.0,,10.66666667
646,FL,M,576.0,326.0,326.0,353.0,339.0,8.333333333
647,MI,F,786.0,381.0,443.0,422.0,479.0,17.5
648,FL,M,710.0,,446.0,442.0,,14.77777778
649,AZ,F,433.0,194.0,183.0,196.0,183.0,7.5
650,OR,F,1027.0,447.0,584.0,520.0,633.0,42.08333333
651,MI,M,475.0,239.0,295.0,291.0,319.0,7.5625
652,FL,M,568.0,221.0,256.0,273.0,328.0,
653,CA,M,1035.0,328.0,339.0,298.0,313.0,4.15
654,IL,F,1671.0,662.0,664.0,700.0,711.0,9.2
655,KS,,605.0,306.0,335.0,343.0,362.0,6.285714286
656,TX,,262.0,163.0,206.0,226.0,260.0,10.0625
657,GA,M,593.0,301.0,341.0,,361.0,9.643571429
658,TX,M,491.0,356.0,384.0,357.0,387.0,16.125
659,MI,F,301.0,205.0,208.0,246.0,256.0,13.25
660,IL,F,560.0,296.0,384.0,340.0,,
661,NV,F,617.0,168.0,202.0,239.0,259.0,12.91666667
662,TX,M,481.0,195.0,248.0,265.0,307.0,7.823529412
663,MI,M,602.0,336.0,366.0,363.0,391.0,
664,IL,F,469.0,,241.0,,304.0,10.875
665,MO,M,1191.0,,536.0,515.0,575.0,10.0
666,TX,F,547.0,309.0,337.0,340.0,377.0,16.4
667,GA,F,659.0,250.0,338.0,,432.0,
668,IN,M,347.0,213.0,221.0,,275.0,5.5
669,GA,M,871.0,408.0,426.0,452.0,476.0,11.33333333
670,IN,M,682.0,367.0,432.0,395.0,448.0,5.403846154
671,WA,F,987.0,393.0,408.0,420.0,427.0,
672,OK,M,389.0,177.0,218.0,211.0,248.0,4.8
673,MI,M,448.0,,309.0,,,10.5
674,FL,F,786.0,352.0,371.0,384.0,423.0,3.444444444
675,,M,542.0,,,239.0,262.0,7.444444444
676,IL,,300.0,87.0,163.0,134.0,185.0,4.838709677
677,NE,M,475.0,318.0,360.0,324.0,366.0,
678,WI,F,902.0,477.0,507.0,500.0,517.0,15.0
679,MI,M,684.0,461.0,523.0,503.0,543.0,5.75
680,WA,F,705.0,337.0,,449.0,569.0,
681,AZ,F,815.0,,439.0,322.0,472.0,10.0
682,MN,F,780.0,477.0,485.0,488.0,507.0,3.113636364
683,TX,F,496.0,234.0,218.0,260.0,259.0,
684,GA,,510.0,276.0,338.0,305.0,347.0,17.42857143
685,MO,F,787.0,208.0,271.0,264.0,356.0,13.33333333
686,OK,F,454.0,312.0,,302.0,306.0,9.0
687,AZ,M,762.0,375.0,396.0,418.0,437.0,22.5
688,CA,F,813.0,297.0,360.0,348.0,,22.8125
689,WA,F,1375.0,285.0,510.0,330.0,443.0,63.03571429
690,AR,M,704.0,222.0,374.0,295.0,461.0,
691,KY,F,483.0,169.0,237.0,216.0,269.0,9.545454546
692,LA,M,1903.0,213.0,265.0,274.0,379.0,
693,MI,F,497.0,350.0,,357.0,384.0,3.08
694,NV,F,2368.0,,827.0,723.0,833.0,13.2
695,IA,F,374.0,,305.0,225.0,283.0,5.538461539
696,,F,508.0,240.0,303.0,377.0,427.0,5.571428571
697,,M,676.0,156.0,172.0,201.0,203.0,12.13333333
698,MI,M,805.0,382.0,506.0,421.0,507.0,21.16666667
699,IL,M,732.0,409.0,416.0,450.0,463.0,
700,MN,F,737.0,302.0,383.0,357.0,445.0,5.071428571
701,MS,M,600.0,254.0,255.0,292.0,294.0,
702,IA,M,686.0,,449.0,408.0,492.0,12.75
703,MI,M,500.0,155.0,385.0,263.0,423.0,7.0
704,FL,F,877.0,,380.0,392.0,432.0,8.578947368
705,NC,F,674.0,294.0,381.0,347.0,405.0,6.266666667
706,MS,F,338.0,158.0,195.0,197.0,227.0,7.818181818
707,OR,F,835.0,,244.0,240.0,,11.875
708,,F,925.0,129.0,363.0,215.0,441.0,15.46428571
709,MI,F,483.0,341.0,393.0,382.0,430.0,
710,,F,1290.0,515.0,559.0,,624.0,10.0
711,WA,F,938.0,297.0,319.0,344.0,379.0,
712,CA,M,2741.0,618.0,,586.0,558.0,12.4
713,TX,F,546.0,201.0,244.0,270.0,319.0,10.0
714,GA,,894.0,423.0,481.0,,,11.5
715,NC,F,969.0,515.0,562.0,544.0,596.0,25.0
716,OK,M,493.0,244.0,305.0,273.0,337.0,15.0
717,TN,F,386.0,177.0,231.0,220.0,251.0,15.0
718,CA,,1034.0,176.0,249.0,222.0,295.0,
719,MO,M,834.0,383.0,409.0,382.0,413.0,8.214285714
720,TX,M,588.0,237.0,272.0,292.0,329.0,7.4
721,NC,M,429.0,232.0,259.0,253.0,286.0,3.6875
722,OK,M,737.0,397.0,420.0,420.0,456.0,15.0
723,WI,M,565.0,332.0,406.0,,383.0,10.55555556
724,,M,1083.0,450.0,502.0,506.0,557.0,11.125
725,MO,F,442.0,213.0,210.0,,259.0,5.166666667
726,FL,M,1642.0,522.0,551.0,611.0,651.0,
727,CA,M,1483.0,306.0,333.0,382.0,416.0,14.07692308
728,WI,F,940.0,428.0,465.0,452.0,495.0,15.0
729,CA,F,2012.0,225.0,316.0,294.0,374.0,
730,NC,F,517.0,123.0,180.0,194.0,231.0,12.0
731,CA,F,1773.0,292.0,306.0,346.0,367.0,15.0
732,CA,M,946.0,382.0,436.0,465.0,524.0,6.0
733,AZ,F,1149.0,563.0,566.0,598.0,606.0,8.555555556
734,LA,M,729.0,407.0,444.0,448.0,483.0,4.875
735,WA,F,2375.0,327.0,358.0,,377.0,11.55555556
736,CA,M,2312.0,456.0,,531.0,,
737,IL,F,1063.0,269.0,322.0,304.0,393.0,
738,LA,F,629.0,210.0,277.0,,327.0,9.5
739,TX,M,1247.0,,617.0,672.0,718.0,10.15384615
740,OR,F,807.0,351.0,388.0,377.0,420.0,
741,IN,F,679.0,236.0,247.0,304.0,328.0,47.18181818
742,FL,M,1395.0,,509.0,580.0,642.0,20.875
743,TN,M,576.0,216.0,,295.0,339.0,17.625
744,IL,F,1355.0,,567.0,593.0,670.0,3.8
745,CA,F,2679.0,445.0,470.0,535.0,572.0,6.583333333
746,,F,638.0,470.0,,488.0,521.0,9.5
747,IL,M,359.0,88.0,218.0,159.0,329.0,3.583333333
748,CA,F,1246.0,,296.0,339.0,362.0,7.5
749,NC,,631.0,286.0,324.0,333.0,373.0,
750,WA,,429.0,266.0,302.0,310.0,343.0,5.5
751,CA,F,955.0,329.0,332.0,346.0,359.0,12.33333333
752,,M,810.0,320.0,354.0,368.0,393.0,9.090909091
753,WA,M,699.0,262.0,208.0,301.0,299.0,15.0
754,AZ,F,1239.0,348.0,365.0,399.0,428.0,
755,,M,2241.0,584.0,822.0,716.0,904.0,15.0
756,,M,1432.0,420.0,,453.0,461.0,7.2
757,,,609.0,263.0,357.0,301.0,355.0,
758,MI,F,889.0,328.0,368.0,391.0,431.0,10.66666667
759,WA,M,791.0,565.0,563.0,566.0,571.0,4.407407407
760,NM,F,629.0,170.0,197.0,214.0,243.0,
761,CA,F,2128.0,470.0,472.0,559.0,567.0,
762,WA,F,645.0,359.0,376.0,360.0,381.0,7.666666667
763,FL,F,1344.0,335.0,403.0,377.0,446.0,9.5
764,IL,M,821.0,334.0,371.0,,,10.0
765,TN,F,386.0,177.0,231.0,220.0,,
766,AR,M,361.0,145.0,182.0,199.0,233.0,
767,IA,F,583.0,310.0,371.0,385.0,452.0,8.5
768,IL,M,1711.0,479.0,542.0,629.0,683.0,13.0
769,WA,F,700.0,322.0,415.0,356.0,,11.33333333
770,OR,,904.0,339.0,446.0,442.0,,10.6
771,FL,M,833.0,277.0,350.0,329.0,387.0,12.14285714
772,WA,M,957.0,418.0,417.0,423.0,438.0,15.0625
773,IL,F,607.0,279.0,371.0,,442.0,15.0
774,TX,M,631.0,273.0,278.0,288.0,294.0,25.0
775,WI,M,470.0,234.0,355.0,271.0,,25.0
776,IA,F,342.0,209.0,214.0,241.0,261.0,7.0
777,NC,M,668.0,296.0,308.0,317.0,337.0,15.0
778,KY,M,313.0,142.0,,210.0,251.0,15.0
779,TX,M,427.0,455.0,464.0,538.0,580.0,15.25
780,MI,F,886.0,490.0,536.0,570.0,606.0,42.5
781,MN,M,480.0,,184.0,214.0,246.0,5.916666667
782,FL,M,809.0,303.0,319.0,342.0,361.0,16.33333333
783,AL,M,453.0,219.0,,263.0,299.0,3.782608696
784,,,1609.0,346.0,435.0,404.0,435.0,3.152173913
785,GA,F,442.0,218.0,,,286.0,9.166666667
786,IN,F,351.0,192.0,214.0,212.0,235.0,20.0
787,IA,F,614.0,222.0,317.0,305.0,363.0,8.666666667
788,CO,M,881.0,,332.0,375.0,382.0,14.8
789,SC,F,616.0,324.0,,348.0,361.0,8.5
790,MN,F,522.0,227.0,292.0,294.0,347.0,20.0
791,CA,F,1184.0,,341.0,352.0,368.0,9.875
792,MI,M,1348.0,662.0,712.0,752.0,788.0,6.2
793,NC,F,683.0,343.0,398.0,377.0,441.0,7.214285714
794,MN,,604.0,318.0,338.0,356.0,376.0,6.590909091
795,WI,,1167.0,558.0,576.0,597.0,626.0,
796,IN,M,836.0,222.0,431.0,347.0,442.0,8.947368421
797,CA,F,1349.0,370.0,418.0,,480.0,
798,IA,F,586.0,349.0,413.0,404.0,465.0,7.3
799,WA,M,842.0,420.0,,476.0,494.0,16.4
800,FL,F,556.0,246.0,277.0,292.0,330.0,9.818181818
801,CA,M,1467.0,311.0,323.0,356.0,392.0,7.333333333
802,WI,M,1304.0,,484.0,595.0,609.0,10.0
803,AZ,F,616.0,,423.0,406.0,443.0,14.8
804,MI,M,497.0,275.0,296.0,343.0,369.0,6.368421053
805,GA,F,1149.0,420.0,460.0,469.0,,23.33333333
806,SC,M,514.0,205.0,224.0,226.0,238.0,10.0
807,MI,M,870.0,319.0,345.0,357.0,398.0,9.571428571
808,CA,M,2680.0,314.0,506.0,402.0,517.0,20.0
809,WI,F,556.0,,275.0,268.0,258.0,10.33333333
810,AZ,F,624.0,284.0,326.0,324.0,,
811,FL,F,736.0,262.0,293.0,321.0,,
812,GA,M,364.0,246.0,307.0,287.0,325.0,8.833333333
813,CA,F,1709.0,511.0,518.0,527.0,537.0,15.0
814,MI,M,713.0,300.0,313.0,323.0,364.0,6.0
815,FL,F,556.0,318.0,358.0,320.0,352.0,9.428571429
816,FL,F,1567.0,392.0,391.0,434.0,409.0,6.5625
817,OR,F,953.0,319.0,379.0,387.0,455.0,15.57142857
818,TX,M,492.0,244.0,260.0,284.0,301.0,19.375
819,AZ,F,847.0,,238.0,225.0,308.0,11.5
820,CA,,2645.0,644.0,655.0,682.0,697.0,8.75
821,CA,F,1952.0,335.0,365.0,367.0,398.0,13.0
822,MI,M,473.0,327.0,338.0,348.0,363.0,13.5
823,CA,M,2213.0,447.0,447.0,491.0,491.0,
824,CA,F,1455.0,376.0,417.0,393.0,426.0,6.35
825,MO,F,393.0,216.0,258.0,258.0,301.0,10.0
826,CA,F,2453.0,438.0,451.0,436.0,475.0,5.8125
827,TX,M,533.0,,276.0,287.0,308.0,13.375
828,FL,F,1044.0,366.0,318.0,458.0,499.0,13.16666667
829,KY,M,702.0,308.0,348.0,337.0,,
830,TX,M,852.0,516.0,,535.0,556.0,14.62347826
831,OK,M,1045.0,528.0,538.0,604.0,618.0,15.0
832,TX,,919.0,425.0,562.0,,697.0,17.92307692
833,WA,F,755.0,,,244.0,313.0,16.5
834,NV,F,1383.0,410.0,464.0,499.0,562.0,7.0
835,TX,M,438.0,213.0,213.0,265.0,264.0,26.0
836,FL,F,1187.0,,,,469.0,11.66666667
837,WA,F,1617.0,398.0,414.0,457.0,490.0,
838,CA,M,1367.0,342.0,329.0,359.0,355.0,6.75
839,TX,,267.0,121.0,72.0,169.0,94.0,13.875
840,TN,F,854.0,,,372.0,427.0,17.73333333
841,MN,M,493.0,244.0,311.0,314.0,395.0,12.5
842,FL,M,700.0,327.0,360.0,355.0,375.0,
843,FL,F,1765.0,,465.0,442.0,562.0,
844,WA,F,929.0,,369.0,314.0,352.0,8.5
845,NC,F,581.0,231.0,267.0,288.0,332.0,14.0
846,IL,M,470.0,274.0,,282.0,337.0,4.2
847,CO,F,1159.0,572.0,557.0,574.0,561.0,6.230769231
848,CA,M,1137.0,348.0,362.0,425.0,444.0,9.0
849,FL,M,912.0,313.0,370.0,379.0,442.0,12.16666667
850,AR,M,332.0,219.0,257.0,261.0,296.0,7.133333333
851,CA,F,2190.0,611.0,655.0,669.0,709.0,6.5
852,NV,M,1117.0,461.0,461.0,461.0,450.0,6.428571429
853,FL,F,814.0,268.0,282.0,,312.0,10.4
854,CA,F,1814.0,328.0,418.0,380.0,410.0,10.66666667
855,WA,F,403.0,,288.0,,365.0,20.0
856,MO,F,613.0,264.0,323.0,300.0,357.0,10.66666667
857,MI,M,2712.0,1022.0,1144.0,989.0,1079.0,
858,KS,F,958.0,467.0,499.0,525.0,582.0,7.6
859,TN,F,1129.0,332.0,445.0,429.0,537.0,20.83333333
860,KS,M,452.0,,300.0,297.0,,14.8
861,FL,M,986.0,485.0,495.0,530.0,,20.11111111
862,AR,M,655.0,215.0,,,305.0,14.44
863,KY,M,459.0,,195.0,237.0,258.0,3.52173913
864,TX,M,674.0,317.0,402.0,458.0,553.0,5.363636364
865,TX,F,348.0,197.0,223.0,239.0,265.0,10.22692308
866,CA,M,1876.0,393.0,404.0,419.0,450.0,
867,FL,M,865.0,,387.0,392.0,432.0,6.266666667
868,CA,M,666.0,213.0,253.0,268.0,288.0,8.166666667
869,FL,M,809.0,358.0,,411.0,446.0,13.71428571
870,MO,F,987.0,296.0,354.0,344.0,412.0,28.0
871,FL,M,2444.0,,780.0,737.0,782.0,15.0
872,TX,M,503.0,,255.0,262.0,292.0,
873,NM,,1004.0,189.0,247.0,236.0,313.0,
874,TX,F,1565.0,717.0,780.0,704.0,784.0,
875,CA,F,872.0,294.0,307.0,343.0,356.0,20.4
876,IN,F,501.0,305.0,,354.0,399.0,20.77777778
877,WI,F,331.0,154.0,237.0,217.0,273.0,4.444444444
878,,M,620.0,,270.0,279.0,309.0,12.36142857
879,SC,M,747.0,,457.0,,488.0,15.0
880,NC,F,1491.0,396.0,489.0,472.0,566.0,14.0
881,WA,F,756.0,333.0,372.0,391.0,430.0,8.769230769
882,TX,F,487.0,217.0,222.0,247.0,262.0,9.888888889
883,SC,M,651.0,310.0,345.0,337.0,382.0,7.611111111
884,OK,F,693.0,404.0,,439.0,,5.125
885,CA,F,1063.0,,148.0,206.0,223.0,3.035714286
886,MI,F,609.0,403.0,424.0,422.0,466.0,19.25
887,TX,,439.0,268.0,,307.0,341.0,5.8
888,WA,F,871.0,339.0,355.0,363.0,384.0,9.5
889,MI,F,313.0,159.0,256.0,220.0,274.0,16.25
890,IL,M,1059.0,334.0,513.0,392.0,528.0,
891,,M,687.0,257.0,310.0,291.0,328.0,9.0
892,IA,M,397.0,248.0,270.0,296.0,313.0,14.4
893,CA,F,2516.0,595.0,649.0,641.0,691.0,13.65517241
894,WI,F,506.0,270.0,323.0,326.0,346.0,
895,IL,F,412.0,311.0,354.0,342.0,380.0,9.333333333
896,MI,F,360.0,,239.0,233.0,267.0,
897,WA,M,423.0,208.0,229.0,261.0,296.0,4.380952381
898,GA,F,745.0,304.0,,353.0,342.0,5.166666667
899,NM,M,691.0,284.0,294.0,319.0,337.0,17.16
900,OK,,657.0,,366.0,357.0,366.0,10.0
901,TX,F,978.0,428.0,559.0,475.0,609.0,
902,CA,F,1586.0,308.0,321.0,337.0,369.0,9.5
903,MI,M,1596.0,549.0,603.0,631.0,672.0,10.875
904,CA,,2105.0,301.0,314.0,372.0,,15.33333333
905,IL,F,1480.0,560.0,684.0,635.0,718.0,7.617021277
906,OR,F,585.0,216.0,266.0,255.0,,9.727272727
907,MI,F,1033.0,488.0,611.0,565.0,651.0,10.33333333
908,IL,M,340.0,147.0,178.0,217.0,252.0,
909,IL,F,1708.0,,413.0,374.0,455.0,12.6875
910,KS,F,1419.0,694.0,698.0,,777.0,7.363636364
911,CA,,2688.0,306.0,367.0,418.0,449.0,8.642857143
912,TN,,556.0,202.0,346.0,270.0,389.0,13.11111111
913,TN,M,972.0,193.0,278.0,281.0,318.0,11.42857143
914,TX,F,498.0,227.0,278.0,282.0,315.0,7.454545455
915,FL,,878.0,285.0,331.0,349.0,410.0,10.47058824
916,CA,M,883.0,281.0,333.0,315.0,362.0,14.85714286
917,NM,F,670.0,231.0,287.0,282.0,290.0,11.66666667
918,NM,M,589.0,270.0,317.0,,325.0,8.588235294
919,CA,F,2620.0,481.0,490.0,519.0,523.0,14.42857143
920,IL,M,677.0,426.0,466.0,442.0,489.0,10.66666667
921,MO,,464.0,164.0,257.0,224.0,285.0,
922,NC,M,600.0,257.0,308.0,292.0,349.0,
923,MI,F,707.0,282.0,393.0,383.0,,4.176470588
924,CA,F,1537.0,495.0,509.0,,,11.19230769
925,SC,F,682.0,366.0,464.0,421.0,498.0,8.0
926,CA,F,1943.0,,353.0,355.0,381.0,
927,FL,M,1037.0,439.0,,511.0,529.0,10.0
928,IN,F,595.0,284.0,317.0,333.0,406.0,9.0
